啊	a1
楼	lou2
漏	lou4
陆	lu2
鲁	lu3
路	lu4
鸾	luan2
暖	luan3
乱	luan4
雷	lui2
馁	lui3
内	lui4
伦	lun2
论	lun4
褛	lv2
旅	lv3
虑	lv4
吗	ma1
嘛	ma
麻	ma2
马	ma3
骂	ma4
埋	mai2
买	mai3
卖	mai4
蛮	man2
满	man3
慢	man4
𡘪	mang1
忙	mang2
莽	mang3
猫	mao1
毛	mao2
卯	mao3
冒	mao4
脉	me2
梅	mei2
美	mei3
妹	mei4
们	men1
门	men2
懑	men4
眯	mi1
密	mi2
媚	mi4
米	mi3
绵	mian2
免	mian3
面	mian4
喵	miao1
描	miao2
秒	miao3
妙	miao4
咩	mie1
灭	mie2
明	min2
敏	min3
命	min4
谬	miu4
摸	mo1
魔	mo2
懵	mong1
蒙	mong2
猛	mong3
梦	mong4
谋	mou2
目	mu2
某	mou3
贸	mou4
母	mu3
慕	mu4
握	ngo2
我	ngo3
饿	ngo4
疑	ni2
你	ni3
义	ni4
研	nian1
年	nian2
俨	nian3
念	nian4
嬢	niang1
醸	niang4
鸟	niao3
脲	niao4
业	nie2
您	nin2
佞	nin4
蹃	nio2
妞	niu1
牛	niu2
纽	niu3
𧈾	niu4
女	nv3
噢	o
喔	o1
欧	ou1
偶	ou3
怄	ou4
琶	pa1
爬	pa2
趴	pa3
怕	pa4
排	pai2
派	pai4
潘	pan1
盘	pan2
判	pan4
雱	pang1
旁	pang2
髈	pang3
胖	pang4
抛	pao1
袍	pao2
跑	pao3
拍	pe2
批	pei1
陪	pei2
呸	pei3
配	pei4
怦	pen1
彭	pen2
湓	pen4
噼	pi1
皮	pi2
痞	pi3
屁	pi4
偏	pian1
骈	pian2
遍	pian4
飘	piao1
嫖	piao2
瞟	piao3
票	piao4
瞥	pie1
孬	pie4
撇	pie2
拼	pin1
平	pin2
品	pin3
聘	pin4
坡	po1
泼	po2
颇	po3
破	po4
硼	pong1
朋	pong2
捧	pong3
碰	pong4
噗	pu1
扑	pu2
普	pu3
讣	pu4
起	qi3
气	qi4
恰	qia2
蜞	qie3
穷	qiong2
屈	qu2
犬	quan3
劝	quan4
缺	que2
倾	qun1
群	qun2
檾	qun3
然	ran2
染	ran3
壌	rang2
嚷	rang3
让	rang4
饶	rao2
扰	rao3
遶	rao4
惹	re3
热	re2
仍	ren1
人	ren2
忍	ren3
任	ren4
肏	ri2
若	ro2
绒	rong2
冗	rong3
柔	rou2
煣	rou3
如	ru2
乳	ru3
软	ruan3
蕊	rui3
锐	rui4
润	run4
沙	sa1
杀	sa2
腮	sai1
簺	sai2
赛	sai4
三	san1
伞	san3
善	san4
伤	sang1
赏	sang3
烧	sao1
扫	sao3
绍	sao4
色	se2
生	sen1
神	sen2
省	sen3
甚	sen4
啥	sa4
禅	san2
常	sang2
尚	sang4
韶	sao2
奢	se1
社	se4
纯	sun2
师	si1
时	si2
死	si3
是	si4
哾	so
说	so2
耸	song3
收	sou1
手	sou3
受	sou4
书	su1
属	su2
鼠	su3
诉	su4
耍	sua3
誜	sua4
刷	sua2
摔	suai1
甩	suai3
帅	suai4
酸	suan1
算	suan4
双	suang1
爽	suang3
谁	sui2
水	sui3
睡	sui4
损	sun3
顺	sun4
先	xian1
显	xian3
线	xian4
相	xiang1
翔	xiang2
想	xiang3
象	xiang4
消	xiao1
小	xiao3
笑	xiao4
榭	xie1
邪	xie2
写	xie3
谢	xie4
心	xin1
醒	xin3
性	xin4
修	xiu1
朽	xiu3
秀	xiu4
嗦	so1
所	so3
松	song1
送	song4
速	xu2
栒	suan2
睢	sui1
孙	sun1
需	xu1
绪	xu4
鲜	xuan1
玄	xuan2
选	xuan3
眩	xuan4
血	xue2
寻	xun2
训	xun4
西	xi1
喜	xi3
细	xi4
习	xi2
他	ta1
塔	ta2
胎	tai1
台	tai2
太	tai4
贪	tan1
谈	tan2
坦	tan3
叹	tan4
汤	tang1
堂	tang2
躺	tang3
趟	tang4
掏	tao1
逃	tao2
讨	tao3
导	tao4
特	te2
吞	ten1
腾	ten2
梯	ti1
提	ti2
体	ti3
替	ti4
天	tian1
田	tian2
舔	tian3
挑	tiao1
条	tiao2
斢	tiao3
跳	tiao4
铁	tie2
厅	tin1
停	tin2
挺	tin3
拖	to1
脱	to2
妥	to3
唾	to4
通	tong1
同	tong2
统	tong3
痛	tong4
偷	tou1
头	tou2
透	tou4
突	tu2
土	tu3
兔	tu4
团	tuan2
疃	tuan3
彖	tuan4
推	tui1
颓	tui2
腿	tui3
退	tui4
饨	tun1
屯	tun2
哇	wa1
娃	wa2
瓦	wa3
歪	wai1
外	wai4
弯	wan1
完	wan2
晚	wan3
卐	wan4
汪	wang1
王	wang2
往	wang3
望	wang4
威	wei1
微	wei2
委	wei3
位	wei4
温	wen1
文	wen2
稳	wen3
问	wen4
窝	wo1
沃	wo2
卧	wo4
翁	wong1
蓊	wong4
乌	wu1
物	wu2
五	wu3
务	wu4
侠	xia2
夏	xia4
谐	xiai2
懈	xiai4
贤	xian2
崤	xiao2
形	xin2
学	xio2
兄	xiong1
雄	xiong2
昫	xiong4
许	xu3
靴	xue1
勋	xun1
呀	ya1
牙	ya2
雅	ya3
亚	ya4
烟	yan1
言	yan2
眼	yan3
燕	yan4
央	yang1
阳	yang2
养	yang3
漾	yang4
妖	yao1
摇	yao2
杳	yao3
要	yao4
耶	ye1
爷	ye2
也	ye3
夜	ye4
衣	yi1
一	yi2
以	yi3
意	yi4
因	yin1
迎	yin2
影	yin3
印	yin4
约	yo2
雍	yong1
容	yong2
拥	yong3
用	yong4
优	you1
由	you2
有	you3
又	you4
淤	yu1
于	yu2
与	yu3
玉	yu4
渊	yuan1
原	yuan2
愿	yuan4
月	yue2
晕	yun1
云	yun2
永	yun3
运	yun4
杂	za2
灾	zai1
宰	zai3
再	zai4
沾	zan1
展	zan3
战	zan4
张	zang1
丈	zang4
遭	zao1
找	zao3
照	zao4
则	ze2
真	zen1
怎	zen3
正	zen4
渣	za1
炸	za4
掌	zang3
遮	ze1
者	ze3
鹧	ze4
之	zi1
子	zi3
自	zi4
直	zi2
作	zo2
足	zu2
中	zong1
总	zong3
众	zong4
周	zou1
走	zou3
咒	zou4
朱	zu1
主	zu3
做	zu4
抓	zua1
𨆔	zua2
膗	zuai2
顡	zuai4
专	zuan1
啭	zuan3
赚	zuan4
装	zuang1
状	zuang4
追	zui1
最	zui4
尊	zun1
准	zun3
姐	jie3
借	jie4
左	zo3
坐	zo4
嘴	zui3
铵	an3
坱	ang3
莂	bie2
絣	bong1
犃	bou4
剏	cuang4
懛	dai1
隝	diao3
鍴	duan1
芣	fou2
蝜	fou4
圂	hun4
喈	jie1
髸	jiong1
栱	jiong3
懬	kuang3
廇	liu4
啂	lou3
耣	lun3
锊	lve2
麰	miu2
懡	mo3
騀	o3
坢	pan3
礟	pao4
佉	qie1
烗	qie4
緌	rui2
犉	run2
尰	sung4
匴	suan3
睼	tian4
抖	tou3
嶀	tu1
煓	tuan1
畽	tun3
攨	wa4
暡	wong3
谺	xia1
閜	xia3
詾	xiong3
晼	yuan3
稕	zun4
尐	zue2
ㄦ	r
䇏	dui3
𪨊	song2
㗻	zua4
湩	dong2
𠻘	qio3
𨀌	guai2
㢼	bie4
䇑	bai1
䅀	lia4
咶	lia3
䮴	ten3
䏧	nia1
鲊	za3
尕	ga3
挼	rua2
躴	lang1
㧳	pai3
抈	yue1
抡	len1
吥	be1
㧹	de3
乣	jiu2
吜	qiu4
㘐	bio3
咹	an
